,name,date,score,isin,parameter
44597,DEUTSCHE BANK ,2008-12-01,75.0,DE0005140008, ESG Score
44598,DEUTSCHE BANK ,2009-01-01,75.0,DE0005140008, ESG Score
44599,DEUTSCHE BANK ,2009-02-01,80.29,DE0005140008, ESG Score
44600,DEUTSCHE BANK ,2009-03-01,80.29,DE0005140008, ESG Score
44601,DEUTSCHE BANK ,2009-04-01,80.29,DE0005140008, ESG Score
44602,DEUTSCHE BANK ,2009-05-01,80.29,DE0005140008, ESG Score
44603,DEUTSCHE BANK ,2009-06-01,80.29,DE0005140008, ESG Score
44604,DEUTSCHE BANK ,2009-07-01,80.29,DE0005140008, ESG Score
44605,DEUTSCHE BANK ,2009-08-01,80.29,DE0005140008, ESG Score
44606,DEUTSCHE BANK ,2009-09-01,80.29,DE0005140008, ESG Score
44607,DEUTSCHE BANK ,2009-10-01,80.29,DE0005140008, ESG Score
44608,DEUTSCHE BANK ,2009-11-01,80.29,DE0005140008, ESG Score
44609,DEUTSCHE BANK ,2009-12-01,80.29,DE0005140008, ESG Score
44610,DEUTSCHE BANK ,2010-01-01,80.29,DE0005140008, ESG Score
44611,DEUTSCHE BANK ,2010-02-01,84.11,DE0005140008, ESG Score
44612,DEUTSCHE BANK ,2010-03-01,84.11,DE0005140008, ESG Score
44613,DEUTSCHE BANK ,2010-04-01,84.11,DE0005140008, ESG Score
44614,DEUTSCHE BANK ,2010-05-01,84.11,DE0005140008, ESG Score
44615,DEUTSCHE BANK ,2010-06-01,84.11,DE0005140008, ESG Score
44616,DEUTSCHE BANK ,2010-07-01,84.11,DE0005140008, ESG Score
44617,DEUTSCHE BANK ,2010-08-01,84.11,DE0005140008, ESG Score
44618,DEUTSCHE BANK ,2010-09-01,84.11,DE0005140008, ESG Score
44619,DEUTSCHE BANK ,2010-10-01,84.11,DE0005140008, ESG Score
44620,DEUTSCHE BANK ,2010-11-01,84.11,DE0005140008, ESG Score
44621,DEUTSCHE BANK ,2010-12-01,84.11,DE0005140008, ESG Score
44622,DEUTSCHE BANK ,2011-01-01,84.11,DE0005140008, ESG Score
44623,DEUTSCHE BANK ,2011-02-01,82.36,DE0005140008, ESG Score
44624,DEUTSCHE BANK ,2011-03-01,82.36,DE0005140008, ESG Score
44625,DEUTSCHE BANK ,2011-04-01,82.36,DE0005140008, ESG Score
44626,DEUTSCHE BANK ,2011-05-01,82.36,DE0005140008, ESG Score
44627,DEUTSCHE BANK ,2011-06-01,82.36,DE0005140008, ESG Score
44628,DEUTSCHE BANK ,2011-07-01,82.36,DE0005140008, ESG Score
44629,DEUTSCHE BANK ,2011-08-01,82.36,DE0005140008, ESG Score
